活动类别,持续时间,开始时间,结束时间,备注
Chaos,0.7,06/03 17:09,06/03 17:54,
工作,2.7,06/03 14:24,06/03 17:09,
交通,0.2,06/03 14:14,06/03 14:24,
Chaos,1.1,06/03 13:06,06/03 14:14,
用餐,0.2,06/03 12:53,06/03 13:06,
家务,1.6,06/03 11:19,06/03 12:53,
GDG,0.4,06/03 10:55,06/03 11:19,
Chaos,1.9,06/03 09:01,06/03 10:55,
用餐,0.6,06/03 08:26,06/03 09:01,
家务,0.7,06/03 07:44,06/03 08:26,
睡眠,9.1,06/02 22:40,06/03 07:45,
Chaos,1.9,06/02 20:47,06/02 22:40,
家务,2.7,06/02 18:07,06/02 20:47,
用餐,0.4,06/02 17:42,06/02 18:07,
交流,4.1,06/02 13:34,06/02 17:42,
Chaos,1.6,06/02 11:58,06/02 13:34,
购物,1.7,06/02 10:15,06/02 11:58,
Chaos,1.5,06/02 08:43,06/02 10:15,
睡眠,8.1,06/02 00:40,06/02 08:44,
家务,4.3,06/01 20:20,06/02 00:40,
Chaos,1.7,06/01 18:37,06/01 20:20,
用餐,1.9,06/01 16:41,06/01 18:37,
家务,5.0,06/01 11:39,06/01 16:41,
购物,2.2,06/01 09:25,06/01 11:39,
家务,1.8,06/01 07:39,06/01 09:25,
睡眠,6.9,06/01 00:46,06/01 07:39,
阅读,0.2,06/01 00:31,06/01 00:46,
电影,2.2,05/31 22:17,06/01 00:31,
活动类别,持续时间,Percent
Life,332.0,44.6
Output,167.7,22.5
Chaos,146.4,19.7
Input,76.1,10.2
Livin,21.0,2.8
Chaos+Output,0.6,0.1
Chaos+Life,0.0,0.0
Chaos+Input,0.0,0.0
其他,0.1,0.0
总计,744.0
